rawScore,25,30,35,40,45,50,55,60,65
13,,,,,,,,2,5
14,,,,,,,,5,7
15,,,,,2.5,3,5,8,10
16,,,,,3,3.5,7,10,13
17,,,,2,4,5,8,13,17
18,,,,3,5,6.5,10,15,20
19,,,2,4,7,7.5,12,18,25
20,2,2,2.5,5,8,10,15,22,30
21,2.5,3,3.5,7,10,12,20,25,34
22,3,4,5,8,12,15,24,28,38
23,3.5,5,7,10,15,19,28,32,42
24,4,7,9,12,17,21,32,36,46
25,5,8,11,15,20,25,36,40,50
26,8,10,14,17,23,28,40,45,55
27,9,12,16,20,25,32,44,50,60
28,10,14,19,23,28,36,48,54,64
29,11,16,21,26,31,40,50,59,68
30,12,18,25,28,35,46,54,63,72
31,14,20,28,31,39,50,58,66,75
32,15,22,30,34,43,54,62,70,78
33,17,25,34,37,47,58,64,73,81
34,19,28,38,40,50,61,68,76,83
35,21,30,40,43,54,64,71,78,85
36,24,32,42,46,57,67,73,80,87
37,26,34,45,50,60,70,76,82,88
38,28,38,48,53,63,72,78,84,89
39,32,40,50,57,66,74,80,85,90
40,35,42,53,60,69,76,83,87,91
41,38,45,56,64,72,78,86,89,93
42,42,48,60,68,75,80,88,90,94
43,45,50,62,71,78,83,90,92,95
44,48,54,66,75,81,85,92,93,96
45,52,58,70,79,85,87,93,95,97
46,56,62,74,82,87,90,94,96,98
47,61,66,77,85,90,92,95,97,99
48,66,70,80,88,92,93,96,98,
49,70,74,84,90,94,95,97,99,
50,74,78,86,92,95,96,98,,
51,78,82,89,94,96,97,99,,
52,82,85,91,95,98,98,,,
53,85,90,93,96,99,99,,,
54,88,95,95,97,,,,,
55,94,98,99,99,,,,,
56,99,99,,,,,,,