percentile,IQ
1.1,66
1.5,67
2,69
2.5,71
3,72
3.5,73
4,74
5,75
6.5,77
7,78
7.5,79
8,79
9,80
10,81
11,82
12,82
13,83
14,84
15,85
16,85
17,86
18,87
19,87
20,88
21,88
22,89
23,89
24,89
25,90
26,90
27,91
28,91
29,92
30,92
31,93
32,93
33,94
34,94
35,94
36,95
37,95
38,96
39,96
40,96
41,97
42,97
43,97
44,98
45,98
46,99
47,99
48,99
49,100
50,100
51,100
52,101
53,101
54,101
55,102
56,102
57,103
58,103
59,103
60,104
61,104
62,104
63,105
64,105
65,106
66,106
67,106
68,107
69,107
70,108
71,108
72,109
73,109
74,110
75,110
76,111
77,111
78,111
79,112
80,112
81,113
82,113
83,114
84,115
85,115
86,116
87,117
88,118
89,118
90,119
91,120
92,121
93,122
94,123
95,125
96,126
97,128
98,130
99,131